age,gender,marital_status,education_level,annual_income,monthly_income,employment_status,debt_to_income_ratio,credit_score,loan_amount,loan_purpose,interest_rate,loan_term,installment,grade_subgrade,num_of_open_accounts,total_credit_limit,current_balance,delinquency_history,public_records,num_of_delinquencies,loan_paid_back
23,Male,Single,Bachelor's,73356.57,6113.05,Employed,0.092,589,28579.38,Debt consolidation,15.89,60,693.33,E3,5,102355.5,38663.29,4,0,5,1
42,Male,Married,High School,58633.23,4886.1,Employed,0.21,578,16116.67,Medical,17.24,60,402.62,F4,4,86242.85,65905.57,5,0,5,1
73,Male,Married,Bachelor's,39383.19,3281.93,Employed,0.229,732,19078.95,Debt consolidation,12.79,60,432.06,C5,3,30102.24,13122.81,2,0,2,1
22,Female,Single,Master's,40245.27,3353.77,Employed,0.113,564,9831.78,Debt consolidation,15.51,36,343.28,F4,2,56819.25,41201.7,1,0,2,0
44,Male,Widowed,Master's,18875.14,1572.93,Employed,0.158,694,9607.62,Car,12.14,36,319.75,C5,5,25809.11,21463.92,4,0,5,1
64,Male,Divorced,PhD,70246.14,5853.84,Employed,0.1,440,8853.43,Debt consolidation,14.32,36,303.97,F3,4,79490.56,59161.78,4,0,4,1
50,Male,Single,High School,40422.15,3368.51,Employed,0.067,753,19415.58,Debt consolidation,11.79,36,642.93,B5,6,65806.15,48129.85,2,1,2,1
58,Female,Divorced,Other,19364.05,1613.67,Self-employed,0.14,619,18128.74,Education,13.84,36,618.19,D3,8,25883.17,15321.34,4,0,4,1
22,Female,Single,High School,13220.54,1101.71,Self-employed,0.122,709,9692.3,Debt consolidation,13.68,36,329.76,C2,6,23805.97,19098.49,2,0,3,1
41,Male,Married,High School,16936.71,1411.39,Employed,0.425,705,18627.46,Other,13.52,36,632.31,C5,3,25978.62,15219.35,1,0,1,1
53,Male,Single,Bachelor's,37957.37,3163.11,Employed,0.135,739,9656.48,Car,8.71,36,305.77,C1,4,46657.36,37539.24,2,0,3,1
32,Male,Single,High School,7884.14,657.01,Employed,0.222,692,5772.28,Business,12.26,36,192.44,C1,9,18319.12,16782.77,0,0,1,1
42,Female,Married,Bachelor's,18014.35,1501.2,Employed,0.212,702,11345.92,Home,13.82,60,262.94,C3,5,30467.37,27089.2,0,0,1,1
64,Male,Single,PhD,48453.69,4037.81,Employed,0.195,610,5285.92,Business,10.52,60,113.67,D3,1,32166.14,21365.3,5,0,7,1
45,Female,Single,Other,27944.46,2328.7,Self-employed,0.132,553,6268.32,Debt consolidation,15.01,36,217.32,F5,3,40793.67,23122.33,2,0,3,0
69,Male,Single,Bachelor's,12516.84,1043.07,Employed,0.562,818,10469.04,Debt consolidation,10.09,36,338.25,A2,6,20412.01,17283.32,3,0,3,1
47,Male,Single,Bachelor's,24864.78,2072.06,Employed,0.111,629,6321.47,Debt consolidation,9.89,36,203.65,D2,5,23358.63,18679.74,4,0,4,1
62,Female,Married,Other,34248.84,2854.07,Employed,0.09,685,10673.12,Debt consolidation,11.68,36,352.87,C1,7,45509.72,21928.41,0,1,1,0
48,Male,Single,Bachelor's,63805.67,5317.14,Employed,0.199,657,22298.23,Other,14.12,36,763.4,D2,7,61717.59,54000.53,4,0,4,1
36,Female,Married,Other,47699.49,3974.96,Unemployed,0.218,806,23171.53,Debt consolidation,7.34,36,719.08,A4,5,75385.65,47058.83,3,0,5,0
35,Male,Single,PhD,46684.56,3890.38,Employed,0.101,717,13275.22,Debt consolidation,13.28,36,449.09,C3,6,36244.87,9210.08,0,0,0,1
67,Female,Single,High School,55926.72,4660.56,Self-employed,0.088,727,20613.2,Debt consolidation,13.75,60,476.97,C2,4,77521.8,6832.02,0,0,2,1
71,Female,Single,High School,13295.77,1107.98,Employed,0.117,623,13225.93,Car,15.11,36,459.19,D2,4,12599.76,8654.39,3,0,3,1
64,Female,Married,Bachelor's,76626.81,6385.57,Employed,0.154,750,8606.43,Business,11.97,36,285.73,B1,8,115966.9,6219.9,3,0,4,1
75,Male,Single,Master's,76748.44,6395.7,Retired,0.163,759,2284.88,Debt consolidation,10.14,36,73.88,B5,5,116481.63,42562.91,1,0,1,1
72,Male,Married,Master's,25153.1,2096.09,Self-employed,0.04,719,17789.74,Medical,14.53,36,612.6,C4,5,40551.35,12079.77,2,0,2,1
23,Male,Single,Bachelor's,6018.9,501.58,Unemployed,0.104,602,26387.55,Debt consolidation,16.3,36,931.62,E3,5,9863.04,9349.22,0,0,1,0
57,Female,Married,High School,80634.33,6719.53,Self-employed,0.241,693,22884.38,Medical,8.01,60,464.12,C2,4,76328.19,53751.23,5,0,6,1
71,Female,Single,High School,6969.14,580.76,Employed,0.206,727,23939.96,Car,10.73,60,517.29,C1,4,8478.63,496.35,4,0,5,1
27,Male,Married,Other,45571.44,3797.62,Employed,0.143,714,8316.32,Debt consolidation,11.87,60,184.45,C4,5,70307.77,9683.34,0,0,1,1
41,Male,Single,Bachelor's,27707.6,2308.97,Employed,0.069,673,10351.45,Debt consolidation,14.6,36,356.81,C5,8,35407.59,25604.13,2,0,2,1
29,Female,Single,Bachelor's,25314.19,2109.52,Employed,0.107,608,21421.74,Debt consolidation,14.44,60,503.35,E5,4,24710.54,7157.97,1,0,2,1
59,Male,Single,PhD,28021.38,2335.12,Employed,0.183,697,10606.79,Other,12.62,36,355.45,C4,7,33526.47,1683.26,3,0,3,0
38,Male,Single,Master's,39324.09,3277.01,Employed,0.171,593,15284.49,Debt consolidation,16.08,36,537.96,E3,7,46987.9,15402.09,3,0,3,1
24,Male,Married,Bachelor's,10032.47,836.04,Employed,0.098,643,19958.98,Education,13.91,60,463.48,D2,10,15232.58,1401.49,2,0,2,1
45,Female,Widowed,Bachelor's,32388.96,2699.08,Unemployed,0.44,598,18787.69,Debt consolidation,17.06,36,670.39,E3,6,40836.89,32116.05,4,0,4,0
34,Female,Single,Master's,15417.43,1284.79,Employed,0.09,665,500,Other,13.79,36,17.04,D2,7,26456.98,3470.3,4,0,7,1
70,Other,Married,Bachelor's,26839.94,2236.66,Employed,0.039,658,33869,Other,16.64,36,1201.46,D1,4,38585.5,20053.96,2,0,3,1
29,Male,Single,Bachelor's,40020.77,3335.06,Employed,0.073,655,23131.95,Home,14.15,60,540.04,D5,5,48608.42,3133.64,1,0,1,1
46,Female,Single,High School,61428.94,5119.08,Unemployed,0.294,580,2855.15,Medical,12.38,36,95.35,E1,5,40047.57,34659.95,3,0,4,0
73,Female,Single,Master's,23364.87,1947.07,Employed,0.098,785,19723.17,Business,11.29,60,431.69,B3,3,17727.96,2849.65,2,0,3,1
22,Male,Married,Other,106317.95,8859.83,Employed,0.106,648,9020.84,Debt consolidation,14.01,36,308.35,D3,6,90450.17,4818.95,1,0,3,1
40,Female,Single,Other,21245.26,1770.44,Self-employed,0.358,652,17952.71,Business,13.23,36,606.89,D4,8,30292.09,14114.73,6,0,7,1
48,Male,Married,Bachelor's,21576.38,1798.03,Employed,0.147,587,22296.51,Education,15.06,36,773.57,E1,4,19484.61,15244.96,2,0,3,1
67,Male,Single,Bachelor's,67313.56,5609.46,Employed,0.097,605,5207.8,Vacation,12.71,60,117.72,E2,7,83247.84,78866.44,2,0,2,1
27,Male,Single,High School,31299.21,2608.27,Retired,0.221,707,13459.01,Debt consolidation,13.32,36,455.56,C5,6,50804.49,35883.45,1,0,1,1
64,Male,Single,Bachelor's,40464.81,3372.07,Unemployed,0.165,791,22931.8,Other,8.65,36,725.5,B3,7,50221.45,28359.14,0,1,0,1
28,Female,Single,Bachelor's,27080.78,2256.73,Employed,0.094,708,41679.04,Business,11.1,60,908.28,C2,2,34160.51,26050.45,1,0,2,1
67,Male,Single,Master's,29019.47,2418.29,Self-employed,0.319,682,12183.94,Car,10.89,36,398.25,C2,3,45826.67,31322.33,3,0,4,1
55,Male,Single,High School,44794.43,3732.87,Employed,0.09,733,2044.83,Business,10.44,36,66.4,C5,4,47189.73,11009.78,1,0,1,1
34,Male,Single,Bachelor's,77862.02,6488.5,Employed,0.052,662,6954.56,Debt consolidation,13.02,36,234.39,D4,4,54523.53,38221.83,2,0,2,1
37,Female,Married,Bachelor's,39502.26,3291.86,Employed,0.291,667,27060.87,Vacation,14.72,36,934.37,D2,7,55874.14,3656.01,4,1,6,1
56,Female,Single,High School,46969.67,3914.14,Employed,0.033,732,17320.78,Other,11.36,36,570.02,C3,3,34070.61,10824.32,1,0,1,1
70,Female,Married,High School,65446.1,5453.84,Employed,0.057,665,15303.67,Car,11.86,36,507.28,D5,3,60655.76,30859.15,3,0,3,1
60,Female,Single,Bachelor's,27471.78,2289.32,Self-employed,0.075,798,30714.91,Home,6.49,36,941.24,B3,6,42637.75,16777.8,3,0,3,1
24,Male,Married,Bachelor's,20180.13,1681.68,Employed,0.354,646,10419.48,Debt consolidation,10.43,60,223.59,D3,8,27728.17,15539.42,3,0,3,1
22,Male,Single,Bachelor's,19642.89,1636.91,Employed,0.085,645,20987.63,Debt consolidation,14.86,60,497.75,D4,9,23777.34,11799.41,3,0,4,1
26,Female,Single,Bachelor's,21341.14,1778.43,Employed,0.254,594,9605.16,Other,14.35,36,329.92,E1,9,27770.2,23301.94,2,0,2,1
74,Male,Widowed,High School,19411.96,1617.66,Employed,0.118,686,11636.29,Other,12.94,36,391.74,C4,6,29245.95,13529.88,0,0,1,1
62,Male,Single,High School,70252.63,5854.39,Employed,0.293,816,14260.74,Medical,7.82,36,445.7,A3,5,88552.78,10801.64,2,0,3,1
24,Female,Married,High School,11724.35,977.03,Employed,0.272,796,4185.81,Home,7.13,36,129.49,B5,4,12229.12,4101.02,2,0,2,1
74,Male,Married,High School,51764.58,4313.72,Employed,0.2,714,3953.41,Business,12.7,60,89.35,C4,6,60246.37,3268.62,2,0,3,1
49,Male,Single,Master's,17412.33,1451.03,Employed,0.126,692,12889.65,Debt consolidation,15.25,36,448.4,C5,2,14588.51,2282.6,2,0,2,1
38,Male,Divorced,High School,106377.8,8864.82,Employed,0.135,575,10809.07,Debt consolidation,12.45,36,361.34,F1,4,93921.55,44205.03,3,0,3,1
46,Male,Married,High School,46235.93,3852.99,Employed,0.24,723,23461.16,Medical,7.59,36,730.76,C2,6,34847.81,6069.86,1,0,1,1
64,Female,Married,High School,21467.5,1788.96,Employed,0.096,632,4489.55,Other,16.43,36,158.79,D4,4,26864.2,16248.31,6,2,6,1
54,Female,Widowed,Bachelor's,26239.21,2186.6,Self-employed,0.065,731,22433.03,Home,9.6,36,719.65,C3,3,19450.13,9693.8,2,0,3,1
30,Female,Married,Bachelor's,34533.91,2877.83,Employed,0.252,746,15912.88,Business,14.25,36,545.8,B2,8,30213.25,13875.49,2,0,3,1
56,Female,Single,High School,53177.17,4431.43,Employed,0.413,850,10942.58,Home,11.09,36,358.71,A3,5,33860.39,20911.03,3,0,4,1
34,Male,Married,High School,44424.93,3702.08,Employed,0.145,661,17284.88,Business,15.05,36,599.61,D5,5,66695.67,46016.26,0,0,0,1
51,Male,Single,Other,36023,3001.92,Employed,0.133,724,17092.49,Debt consolidation,10.05,60,363.59,C5,1,44626.95,42350.14,2,0,2,1
68,Male,Single,PhD,23762.57,1980.21,Retired,0.179,726,8737.08,Home,11.16,36,286.7,C3,2,22467.31,21216.64,0,0,0,1
35,Male,Married,Master's,30518.71,2543.23,Employed,0.141,662,15806.45,Other,14.32,60,370.42,D4,1,38897.78,9318.21,3,0,3,1
28,Other,Divorced,High School,81238.7,6769.89,Retired,0.116,726,12676.02,Car,12.8,36,425.89,C5,10,95993.99,20371.93,3,0,3,1
34,Female,Single,Bachelor's,130197.44,10849.79,Unemployed,0.063,693,18042.75,Other,11.53,36,595.24,C2,3,165401.5,76121.42,1,0,2,1
43,Male,Married,Bachelor's,70374.16,5864.51,Retired,0.119,722,26516.78,Debt consolidation,12.82,36,891.16,C5,8,82886.3,43536.92,2,0,3,1
60,Male,Single,High School,20462.01,1705.17,Employed,0.295,624,6709.69,Home,15,36,232.59,D5,5,16745.3,5389.47,2,0,3,1
41,Male,Single,Bachelor's,85786.02,7148.84,Employed,0.102,580,10023.24,Debt consolidation,14.77,36,346.33,E1,5,64606.93,50781.58,7,0,7,0
36,Male,Married,Bachelor's,29780.08,2481.67,Unemployed,0.272,658,15067.38,Debt consolidation,12.46,36,503.77,D3,2,28543.79,24712.6,5,0,5,0
65,Male,Divorced,Bachelor's,36385.73,3032.14,Retired,0.239,667,24986.54,Education,16.37,60,612.55,D5,5,48293.63,22394.54,1,0,1,1
38,Female,Single,Bachelor's,17028.66,1419.06,Self-employed,0.128,663,5745.56,Car,9.16,60,119.72,D5,1,14089.69,4339.74,0,0,0,1
67,Female,Single,Bachelor's,38876.87,3239.74,Employed,0.382,615,20487.12,Education,11.77,60,453.35,D1,6,59399.96,19005.73,6,0,6,1
73,Female,Single,Master's,22673.3,1889.44,Unemployed,0.113,736,500,Vacation,13.82,36,17.05,C3,8,34360.55,2890.97,2,0,2,1
44,Male,Married,Master's,82896.06,6908,Employed,0.077,677,22705,Debt consolidation,12.9,60,515.45,C3,2,77481.84,24865.82,1,0,2,1
46,Male,Single,Bachelor's,167130.23,13927.52,Unemployed,0.267,804,26375.58,Other,9.35,60,552,A2,5,183155.12,12117.19,3,0,4,0
45,Female,Single,Bachelor's,36280.64,3023.39,Employed,0.04,653,13374.14,Business,13.56,36,454.24,D1,4,44742.77,34166.82,1,0,2,1
65,Female,Married,Master's,48353.84,4029.49,Employed,0.139,754,11531.97,Debt consolidation,9.5,36,369.4,B4,4,55296.81,19797.51,1,0,1,1
61,Female,Single,Other,30193.1,2516.09,Self-employed,0.177,776,13049.15,Other,11.68,36,431.43,B2,5,21257.67,11193.84,0,0,1,1
49,Female,Single,Bachelor's,39025.81,3252.15,Self-employed,0.101,638,21653.22,Other,13.41,60,497.23,D4,5,45509.05,21697.73,2,0,2,1
35,Female,Married,Bachelor's,25469.37,2122.45,Employed,0.213,713,902.21,Debt consolidation,13.04,36,30.42,C4,11,46160.12,37115.36,4,0,5,1
65,Female,Divorced,Master's,43773.89,3647.82,Employed,0.19,713,25948.79,Education,10.74,60,560.83,C3,7,46134.09,33901.16,2,0,2,1
21,Male,Divorced,Bachelor's,46216.07,3851.34,Employed,0.053,580,9054.32,Debt consolidation,15.31,36,315.25,E4,6,43173.83,2767.96,4,0,5,1
45,Female,Single,Master's,43446.12,3620.51,Self-employed,0.114,738,32992.76,Debt consolidation,11.77,36,1092.21,C5,2,42260.9,21293.86,2,0,4,1
27,Male,Divorced,Master's,56839.29,4736.61,Employed,0.061,702,11700.41,Debt consolidation,11.53,36,386,C1,3,75474.13,5677.84,2,1,7,1
29,Male,Married,Master's,29184.08,2432.01,Self-employed,0.01,631,6996.65,Education,15.53,36,244.36,D2,4,24219.14,14989.18,0,0,0,1
44,Female,Single,Bachelor's,182390.52,15199.21,Retired,0.069,651,16438.26,Debt consolidation,13.71,60,380.02,D5,8,191394.45,88584.82,2,0,3,1
21,Male,Married,High School,24550.59,2045.88,Student,0.468,680,17972.01,Medical,11.58,36,593.33,C3,5,37601.82,11264.4,2,0,2,0
64,Male,Single,Bachelor's,24397.07,2033.09,Employed,0.125,725,12732.53,Car,11.55,36,420.17,C3,1,27122.83,7160.96,1,0,2,1
28,Male,Married,High School,8026.57,668.88,Employed,0.281,671,500,Debt consolidation,12.16,60,11.16,C2,3,12118.92,4197.59,3,0,3,1
44,Male,Married,Bachelor's,57257.11,4771.43,Employed,0.094,591,11414.78,Business,14.9,36,395.14,E4,3,72768.6,50462.17,1,0,3,1
31,Male,Married,Master's,6528.04,544,Employed,0.301,703,28674.36,Debt consolidation,16.5,60,704.95,C4,3,10847.7,5992.38,0,0,0,1
71,Male,Single,Bachelor's,29583.92,2465.33,Self-employed,0.036,661,35661.52,Education,12.77,36,1197.63,D5,7,49860.88,46503.47,4,0,5,1
37,Male,Married,High School,23126.73,1927.23,Employed,0.24,685,40266.07,Debt consolidation,16.09,36,1417.43,C4,5,22703.42,7463.51,5,0,6,0
28,Male,Single,Bachelor's,15318.03,1276.5,Employed,0.085,697,14930.8,Education,15.31,36,519.85,C5,6,15816.69,8769.82,0,0,0,0
55,Other,Divorced,High School,37737.86,3144.82,Employed,0.208,787,24161.05,Education,10.13,60,514.9,B3,5,55270.55,18158.03,1,0,1,1
55,Male,Married,Master's,104853.33,8737.78,Employed,0.199,580,14081.82,Car,14.47,36,484.5,E1,4,114548.03,19519.28,5,0,5,1
53,Male,Single,Master's,56273.32,4689.44,Unemployed,0.244,767,16836.33,Car,12.55,36,563.64,B4,5,86448.37,28158.83,0,0,1,0
25,Female,Single,Master's,22976.89,1914.74,Employed,0.049,748,20935.37,Debt consolidation,10.85,60,453.62,B5,5,34351.47,13390.86,2,0,2,1
62,Female,Married,High School,119860.8,9988.4,Employed,0.098,623,20671.31,Debt consolidation,9.65,36,663.61,D3,4,170150.63,76822,1,0,2,1
59,Female,Married,High School,23395.38,1949.62,Employed,0.043,760,17757.35,Business,11.02,60,386.26,B1,4,35729.24,31848.96,2,0,2,1
61,Male,Married,PhD,69993.32,5832.78,Employed,0.047,613,18166.22,Education,13.94,36,620.35,D4,4,78726.72,53894.97,1,0,2,1
48,Female,Single,High School,12802.65,1066.89,Unemployed,0.197,713,17686.21,Other,12.36,60,396.65,C1,7,22636.41,5332.47,4,0,4,0
27,Female,Married,Bachelor's,31591.34,2632.61,Self-employed,0.028,624,25134.1,Debt consolidation,14.64,60,593.2,D3,6,42503.57,35038.75,1,0,3,1
29,Female,Single,Master's,17797.35,1483.11,Employed,0.233,672,7638.21,Debt consolidation,10.85,36,249.52,C1,5,18506.03,15207.83,2,0,2,1
28,Female,Married,Bachelor's,126308.04,10525.67,Student,0.24,723,10559.42,Debt consolidation,11.22,36,346.8,C3,8,132129.15,40592.19,4,0,5,0
32,Female,Divorced,Bachelor's,23971.59,1997.63,Employed,0.185,694,10849.28,Medical,10.69,60,234.22,C4,7,40822.55,30211.99,0,0,0,1
54,Female,Married,High School,19680.97,1640.08,Employed,0.048,665,18419.66,Debt consolidation,12.09,36,612.59,D4,7,34057.72,9232,1,0,2,1
53,Female,Single,Other,48006.18,4000.52,Self-employed,0.187,692,21910.74,Education,10.32,36,710.29,C1,7,59243.34,34559.18,4,0,6,1
68,Male,Widowed,Bachelor's,31263.87,2605.32,Retired,0.349,641,8325.04,Debt consolidation,14.87,36,288.06,D5,2,25772.75,14372.85,5,0,6,1
75,Female,Single,High School,131685.53,10973.79,Unemployed,0.4,677,500,Education,9.11,36,15.93,C5,10,146974.01,71521.54,3,0,3,0
43,Female,Married,Bachelor's,43706.81,3642.23,Employed,0.191,710,30605.55,Debt consolidation,12.79,36,1028.13,C3,3,57003.45,17797.96,2,0,3,1
44,Male,Married,High School,37767.95,3147.33,Employed,0.205,730,15727.55,Vacation,12.02,60,350.01,C4,4,34031.43,18092.33,2,0,3,1
57,Other,Single,Bachelor's,55952.16,4662.68,Unemployed,0.307,522,22775.29,Car,13.49,36,772.78,F5,7,47313.35,44290.09,4,0,6,0
55,Male,Single,Bachelor's,31790.41,2649.2,Unemployed,0.097,729,9133.98,Debt consolidation,12.2,36,304.25,C3,7,51085.86,15990.65,0,0,2,1
64,Male,Single,High School,41889.24,3490.77,Employed,0.07,575,13429.31,Medical,15.86,36,471.21,F3,8,42875.76,2857.69,3,0,3,1
60,Female,Married,High School,21970.6,1830.88,Student,0.13,669,17696.95,Debt consolidation,13.77,36,602.86,D1,4,22972.57,12143.9,2,0,2,0
42,Male,Married,High School,25006.4,2083.87,Employed,0.209,666,13980.08,Debt consolidation,10.93,36,457.23,D2,6,29477.08,21255.53,3,0,4,0
47,Male,Married,High School,20987.88,1748.99,Employed,0.067,533,10636.93,Other,11.9,60,236.08,F3,2,21867.47,6563.79,0,0,1,1
55,Male,Single,Bachelor's,45897.46,3824.79,Employed,0.206,810,14204,Other,11.04,60,309.11,A4,8,52541.02,7091.68,4,0,5,1
21,Male,Married,Master's,24364.09,2030.34,Employed,0.046,633,7313.37,Business,10.67,36,238.29,D1,9,23793.91,22281.05,2,0,4,1
55,Male,Married,High School,57979.19,4831.6,Employed,0.261,629,13254.56,Car,11.96,60,294.57,D4,5,39471,7133.06,0,0,0,0
57,Male,Single,High School,21604.71,1800.39,Unemployed,0.01,850,3523.01,Car,6.45,60,68.85,A4,3,25346.6,11315.85,1,0,2,1
67,Male,Single,Bachelor's,20329.27,1694.11,Unemployed,0.124,556,11670.94,Debt consolidation,14.24,36,400.25,F5,6,16834.64,2439.02,2,0,3,0
34,Other,Single,Bachelor's,41903.6,3491.97,Employed,0.018,673,13321.75,Debt consolidation,12.12,36,443.24,C1,4,36750.32,16547.05,1,0,2,1
23,Other,Married,Master's,39463.41,3288.62,Retired,0.071,702,14200.63,Business,7.34,36,440.69,C1,2,36171.7,4237.42,2,0,3,1
21,Male,Married,Other,60728.46,5060.7,Retired,0.296,674,9172.36,Debt consolidation,13.92,36,313.13,C5,6,46604.94,14282.98,5,0,5,1
25,Female,Married,Bachelor's,17864.88,1488.74,Employed,0.204,575,7827.92,Debt consolidation,14.64,36,269.98,F2,3,27040.07,17294.38,3,2,3,1
46,Male,Married,High School,14428.05,1202.34,Unemployed,0.247,630,13289.06,Business,13.78,36,452.77,D5,4,14417.15,4852.01,1,0,2,0
75,Male,Single,High School,75333.37,6277.78,Employed,0.158,702,14285.8,Debt consolidation,11.79,36,473.06,C4,5,78223.78,51872.95,2,0,2,1
34,Male,Married,High School,16113.74,1342.81,Employed,0.19,745,15574.09,Car,11.79,36,515.72,B2,3,19793.11,9171.57,1,0,3,1
59,Female,Single,Master's,59746.5,4978.88,Self-employed,0.082,788,14432.59,Car,10.93,60,313.3,B1,7,52773.13,28746.75,4,0,4,1
47,Female,Married,Bachelor's,8857.53,738.13,Employed,0.173,673,11581.36,Medical,11.9,36,384.11,C4,4,9029.37,4735.24,2,0,2,1
29,Male,Single,High School,51061.39,4255.12,Employed,0.116,740,9598.11,Debt consolidation,13.89,36,327.53,B2,4,50566.47,18079.22,3,0,3,1
35,Male,Single,Master's,36071.68,3005.97,Employed,0.274,751,24719.93,Debt consolidation,10.54,36,803.92,B2,6,48786.47,10166.8,1,0,1,0
35,Male,Married,Master's,46298.12,3858.18,Unemployed,0.096,762,26749.81,Car,9.15,36,852.51,B2,6,62200.04,36801.33,6,0,6,1
46,Female,Single,PhD,57551.55,4795.96,Employed,0.196,673,15596.14,Debt consolidation,13.65,60,360.07,C3,6,37009.51,9612.28,1,0,1,1
62,Female,Married,High School,64111.05,5342.59,Employed,0.107,703,17774.27,Education,16.02,36,625.07,C3,7,90089.01,26316.83,2,0,2,1
33,Male,Widowed,High School,48002.32,4000.19,Retired,0.189,708,25727.88,Education,11.01,60,559.51,C5,2,51987.82,22592.25,2,0,4,1
71,Female,Married,High School,59933.22,4994.44,Retired,0.174,708,8470.53,Car,10.45,36,275.11,C4,3,84833.15,48869.37,3,0,3,1
52,Male,Single,Bachelor's,71240.27,5936.69,Employed,0.123,760,5661.45,Vacation,7.97,36,177.33,B2,4,45137.9,28820.19,0,1,1,1
59,Female,Single,Bachelor's,78010.05,6500.84,Employed,0.33,673,7537.98,Home,12.12,60,168.14,C3,5,104519.18,87016.67,2,0,4,1
69,Female,Married,Master's,49570.48,4130.87,Employed,0.183,709,35531.62,Business,9.57,36,1139.35,C5,4,58663.28,43543.34,1,2,1,1
72,Male,Single,High School,20571.32,1714.28,Self-employed,0.082,700,15518.16,Car,12.62,60,350.07,C4,7,35486.31,22404.15,0,0,0,1
52,Female,Married,Bachelor's,31233.01,2602.75,Retired,0.029,592,12562.86,Car,13.47,36,426.14,E1,5,43079.32,37284.11,0,0,0,1
24,Female,Married,Master's,34216.61,2851.38,Employed,0.034,673,27535.96,Debt consolidation,8.91,36,874.48,C2,5,50924.91,22154.73,1,1,1,1
50,Male,Married,High School,24152.12,2012.68,Employed,0.046,734,32697.14,Car,10.73,60,706.52,C4,5,33113.13,3205.98,1,0,1,1
57,Male,Married,High School,18255.3,1521.28,Self-employed,0.068,702,8302.32,Car,10.36,36,269.3,C2,8,33369.62,18978.33,1,0,1,1
43,Female,Single,Bachelor's,63267.93,5272.33,Self-employed,0.364,580,2853.44,Other,15.57,36,99.71,E4,5,42623.04,6497.6,5,0,5,1
59,Male,Married,Master's,43485,3623.75,Employed,0.1,721,13430.74,Debt consolidation,11.02,36,439.83,C5,5,30642.37,7341.72,4,0,4,1
65,Male,Married,Other,24312.14,2026.01,Employed,0.09,721,8580.05,Car,10.22,36,277.74,C2,1,34579.2,24965.3,1,0,1,1
35,Male,Single,Master's,37146.25,3095.52,Employed,0.151,704,15169.04,Other,13.76,60,351.07,C4,6,24684.5,17115.22,4,0,4,1
63,Female,Single,Master's,43498.39,3624.87,Self-employed,0.084,776,33826.74,Business,8.72,60,697.6,B2,2,28534.88,17990.91,2,0,3,1
49,Female,Married,Bachelor's,18176.02,1514.67,Employed,0.126,751,16153.24,Other,10.3,36,523.5,B2,3,13810.26,1215.09,1,0,1,1
